class_id,ingr_name,cal/g,fat(g),protein(g),carb(g)
0,candy,4.92,0.25,0.051,0.65
1,egg tart,3.182,0.108,0.05,0.5
2,french fries,5.36,0.35,0.07,0.53
3,chocolate,5.75,0.46,0.06,0.27
4,biscuit,3.525,0.162,0.07,0.447
5,popcorn,3.76,0.067,0.12,0.73
6,pudding,0.618,0.0,0.012,0.141
7,ice cream,1.24,0.005,0.019,0.267
8,cheese butter,7.17,0.81,0.008,0.001
9,cake,3.91,0.18,0.03,0.56
10,wine,0.85,0.0,0.001,0.026
11,milkshake,0.51,0.0,0.0,0.13
12,coffee,0.42,0.016,0.026,0.042
13,juice,0.47,0.001,0.009,0.12
14,milk,0.51,0.019,0.035,0.05
15,tea,0.01,0.0,0.0,0.003
16,almond,5.781,0.495,0.224,0.227
17,red beans,3.33,0.008,0.24,0.6
18,cashew,6.069,0.535,0.206,0.211
19,dried cranberries,2.99,0.005,0.031,0.79
20,soy,1.4,0.006,0.09,0.24
21,walnut,6.533,0.642,0.151,0.139
22,peanut,6.07,0.54,0.2,0.21
23,egg,1.425,0.092,0.125,0.008
24,apple,0.52,0.002,0.003,0.14
25,date,2.82,0.004,0.025,0.75
26,apricot,0.48,0.004,0.014,0.11
27,avocado,1.6,0.15,0.02,0.09
28,banana,0.89,0.003,0.011,0.23
29,strawberry,0.33,0.003,0.007,0.08
30,cherry,0.63,0.002,0.011,0.16
31,blueberry,0.57,0.003,0.007,0.14
32,raspberry,0.53,0.007,0.012,0.12
33,mango,0.316,0.0,0.066,0.082
34,olives,1.15,0.107,0.008,0.063
35,peach,0.34,0.002,0.008,0.08
36,lemon,0.29,0.003,0.011,0.09
37,pear,0.34,0.002,0.008,0.08
38,fig,2.75,0.0,0.025,0.65
39,pineapple,0.5,0.001,0.005,0.13
40,grape,0.69,0.002,0.007,0.18
41,kiwi,0.61,0.005,0.011,0.15
42,melon,0.36,0.001,0.005,0.09
43,orange,0.47,0.001,0.009,0.12
44,watermelon,0.3,0.002,0.006,0.076
45,steak,2.71,0.19,0.25,0.0
46,pork,2.38,0.14,0.26,0.0
47,chicken duck,3.37,0.28,0.19,0.0
48,sausage,3.446,0.273,0.193,0.042
49,fried meat,3.93,0.33,0.23,0.014
50,lamb,1.79,0.08,0.25,0.0
51,sauce,0.89,0.0,0.059,0.16
52,crab,0.83,0.007,0.18,0.0
53,fish,0.9,0.13,0.184,0.0
54,shellfish,1.059,0.006,0.2,0.059
55,shrimp,0.99,0.003,0.24,0.002
56,soup,0.35,0.002,0.007,0.074
57,bread,2.654,0.042,0.135,0.423
58,corn,0.96,0.015,0.034,0.21
59,hamburg,2.26,0.13,0.088,0.201
60,pizza,2.659,0.094,0.112,0.335
61,hanamaki baozi,2.79,0.039,0.098,0.5
62,wonton dumplings,1.966,0.045,0.102,0.287
63,pasta,1.316,0.011,0.051,0.248
64,noodles,1.38,0.021,0.045,0.25
65,rice,1.3,0.003,0.027,0.28
66,pie,3.182,0.108,0.05,0.5
67,tofu,0.73,0.048,0.08,0.019
68,eggplant,0.205,0.003,0.009,0.034
69,potato,0.77,0.001,0.02,0.17
70,garlic,1.49,0.005,0.064,0.33
71,cauliflower,0.25,0.003,0.018,0.05
72,tomato,0.34,0.007,0.007,0.068
73,kelp,0.38,0.003,0.024,0.084
74,seaweed,0.38,0.003,0.024,0.084
75,spring onion,0.32,0.002,0.018,0.07
76,rape,0.25,0.003,0.018,0.05
77,ginger,0.8,0.008,0.018,0.18
78,okra,0.328,0.002,0.019,0.072
79,lettuce,0.15,0.002,0.014,0.029
80,pumpkin,0.205,0.003,0.009,0.034
81,cucumber,0.1,0.0,0.01,0.02
82,white radish,0.16,0.001,0.007,0.034
83,carrot,0.41,0.002,0.009,0.1
84,asparagus,0.204,0.001,0.022,0.039
85,bamboo shoots,0.27,0.003,0.026,0.052
86,broccoli,0.35,0.004,0.024,0.07
87,celery stick,0.16,0.002,0.007,0.034
88,cilantro mint,0.228,0.005,0.022,0.037
89,snow peas,0.81,0.004,0.05,0.14
90,cabbage,0.21,0.005,0.013,0.032
91,bean sprouts,0.3,0.002,0.03,0.059
92,onion,0.4,0.001,0.011,0.09
93,pepper,0.4,0.002,0.02,0.09
94,green beans,0.31,0.001,0.018,0.07
95,French beans,0.31,0.001,0.018,0.07
96,king oyster mushroom,0.22,0.003,0.031,0.033
97,shiitake,0.22,0.003,0.031,0.033
98,enoki mushroom,0.22,0.003,0.031,0.033
99,oyster mushroom,0.22,0.003,0.031,0.033
100,white button mushroom,0.22,0.003,0.031,0.033
101,salad,0.646,0.034,0.061,0.032
